,player_id,fantasy_points_ppr
673,00-0033537,1358.04
674,00-0033550,20.52
675,00-0033553,1091.5
676,00-0033555,321.06
677,00-0033556,571.18
678,00-0033559,45.6
679,00-0033562,96.700005
680,00-0033564,19.0
681,00-0033566,12.0
682,00-0033567,187.5
683,00-0033572,217.5
684,00-0033573,8.9
685,00-0033576,73.0
686,00-0033581,12.799999
687,00-0033589,289.2
688,00-0033591,208.2
689,00-0033594,724.7
690,00-0033596,8.2
691,00-0033597,-0.1
692,00-0033604,1.4
693,00-0033611,252.40001
694,00-0033627,57.2
695,00-0033633,6.5
696,00-0033642,6.0
697,00-0033658,204.2
698,00-0033662,82.1
699,00-0033681,576.2
700,00-0033696,5.6000004
701,00-0033699,1498.0
702,00-0033705,11.599999
703,00-0033717,18.1
704,00-0033720,7.7
705,00-0033725,278.5
706,00-0033733,233.28
707,00-0033742,4.8
708,00-0033748,31.900002
709,00-0033757,404.9
710,00-0033760,2.0
711,00-0033770,8.0
712,00-0033773,0.0
713,00-0033787,-2.0
714,00-0033789,15.2
715,00-0033791,12.0
716,00-0033796,0.0
717,00-0033798,2.6
718,00-0033838,30.800001
719,00-0033839,438.80002
720,00-0033840,65.0
721,00-0033854,204.0
722,00-0033855,13.4
723,00-0033856,1404.5
724,00-0033857,1132.7
725,00-0033858,499.5
726,00-0033859,27.5
727,00-0033869,865.84
728,00-0033871,812.0
729,00-0033873,2223.6
730,00-0033878,5.5
731,00-0033879,416.2
732,00-0033881,860.1
733,00-0033885,567.2
734,00-0033891,681.06
735,00-0033893,1341.3
736,00-0033895,609.6
737,00-0033896,151.2
738,00-0033897,1337.54
739,00-0033899,181.04001
740,00-0033904,14.799999
741,00-0033906,1867.42
742,00-0033908,1582.1
743,00-0033911,139.9
744,00-0033916,16.9
745,00-0033921,1274.3
746,00-0033923,1125.3
747,00-0033925,316.5
748,00-0033928,1.2
749,00-0033932,724.7
750,00-0033933,50.4
751,00-0033936,216.58
752,00-0033937,15.1
753,00-0033943,532.2
754,00-0033948,896.2
755,00-0033949,23.739998
756,00-0033950,347.7
757,00-0033951,550.5
758,00-0033953,31.4
759,00-0033955,118.3
760,00-0033957,0.0
761,00-0033958,32.54
762,00-0033968,0.0
763,00-0033994,4.1
764,00-0034011,260.8
